rank,account,username
1,Instagram,instagram
2,Cristiano Ronaldo,cristiano
3,Leo Messi,leomessi
4,Selena Gomez,selenagomez
5,Kylie Jenner,kyliejenner
6,Dwayne Johnson,therock
7,Ariana Grande,arianagrande
8,Kim Kardashian,kimkardashian
9,Beyoncé,beyonce
10,Khloé Kardashian,khloekardashian
11,Nike,nike
12,Justin Bieber,lilbieber
13,Kendall Jenner,kendalljenner
14,Taylor Swift,taylorswift
15,Virat Kohli,virat.kohli
16,National Geographic,natgeo
17,Jennifer Lopez,jlo
18,Neymar Jr,neymarjr
19,Kourtney Kardashian Barker,kourtneykardash
20,Miley Cyrus,mileycyrus
21,KATY PERRY,katyperry
22,Real Madrid C.F.,realmadrid
23,Zendaya,zendaya
24,Kevin Hart,kevinhart4real
25,Cardi B,iamcardib
26,LeBron James,kingjames
27,Demi Lovato,ddlovato
28,Rihanna,badgalriri
29,FC Barcelona,fcbarcelona
30,Chris Brown,chrisbrownofficial
31,Drake,champagnepapi
32,Ellen DeGeneres,ellendegeneres
33,Kylian Mbappé,k.mbappe
34,BILLIE EILISH,billieeilish
35,UEFA Champions League,championsleague
36,Gal Gadot,gal_gadot
37,Vin Diesel,vindiesel
38,Narendra Modi,narendramodi
39,NASA,nasa
40,Shakira,shakira
41,Shraddha Kapoor,shraddhakapoor
42,Priyanka Chopra,priyankachopra
43,NBA,nba
44,Jennie,jennierubyjane
45,DUA LIPA,dualipa
46,Snoop Dogg,snoopdogg
47,David Beckham,davidbeckham
48,Alia Bhatt,aliaabhatt
49,MrBeast,mrbeast
50,ROSÉ,roses_are_rosie
