rank,channel,followers
1,KaiCenat,20.2M
2,ibai,19.84M
3,Ninja,19.26M
4,auronplay,17M
5,Rubius,16.33M
6,xQc,12.35M
7,TheGrefg,12.29M
8,easyliker,12.26M
9,juansguarnizo,11.64M
10,Tfue,11.54M
11,shroud,11.31M
12,ElMariana,10.92M
13,edu90,10.8M
14,ElSpreen,9.71M
15,Jynxzi,9.49M
16,pokimane,9.37M
17,sodapoppin,8.97M
18,Clix,8.53M
19,caseoh_,8.35M
20,alanzoka,7.99M
21,TimTheTatman,7.62M
22,Riot Games,7.36M
23,Myth,7.28M
24,tommyinnit,7.25M
25,SypherPK,7.23M
26,Mongraal,7.2M
27,AriGameplays,7.13M
28,loud_coringa,7.08M
29,AdinRoss,7.03M
30,rivers_gg,6.84M
31,NICKMERCS,6.76M
32,ESLCS,6.65M
33,Quackity,6.55M
34,summit1g,6.38M
35,Fortnite,6.3M
36,quiriify,6.28M
37,AMOURANTH,6.08M
38,Dream,6.06M
39,Its_J0schi,5.95M
40,Robleis,5.92M
41,Squeezie,5.84M
42,NickEh30,5.79M
43,moistcr1tikal,5.79M
44,MontanaBlack88,5.76M
45,elded,5.69M
46,Bugha,5.49M
47,loltyler1,5.46M
48,Tubbo,5.22M
49,Carreraaa,4.96M
50,quirify,4.95M
51,QuackityToo,4.89M
52,buster,4.86M
53,VALORANT,4.83M
54,GeorgeNotFound,4.8M
55,Elraenn,4.8M
56,RocketLeague,4.78M
57,SLAKUNTV,4.71M
58,Dakotaz,4.64M
59,MrSavage,4.63M
60,Gotaga,4.62M
61,IlloJuan,4.56M
62,TenZ,4.55M
63,stableronaldo,4.52M
64,DrLupo,4.41M
65,elxokas,4.4M
66,WilburSoot,4.34M
67,Gaules,4.33M
68,Philza,4.29M
69,RanbooLive,4.29M
70,MissaSinfonia,4.21M
71,Symfuhny,4.12M
72,benjyfishy,4.1M
73,s1mple,4.08M
74,DaequanWoco,4.06M
75,edu90_,4.03M
76,easportsfc,4.03M
77,casimito,3.94M
78,Trymacs,3.9M
79,Sykkuno,3.86M
80,Faker,3.86M
81,coscu,3.84M
82,NOBRU,3.79M
83,Castro_1021,3.72M
84,bratishkinoff,3.67M
85,PaulinhoLOKObr,3.67M
86,Ludwig,3.62M
87,Fanum,3.61M
88,Cellbit,3.58M
89,IShowSpeed,3.56M
90,Asmongold,3.55M
91,Staryuuki,3.54M
92,karljacobs,3.53M
93,Fernanfloo,3.46M
94,Duke,3.36M
95,aminematue,3.36M
96,tarik,3.31M
97,kingsleague,3.29M
98,Agent00,3.26M
99,xCry,3.26M
100,Alexby11,3.21M
